pheno,dataset,seed,leakage_type,r,q2,r_coef,feat_overlap,r_yp,spearman_network_feat
age,hbn,54.0,leak_covars,0.7414021041285265,0.5495274159589008,0.9926793191686427,0.9813153961136024,0.9952043352245836,0.9961579395188274
age,hbn,75.0,leak_covars,0.7454158366842683,0.5555590853885968,0.9932323266127621,0.9839326702371843,0.9947266539334725,0.9975826688251193
age,hbn,17.0,leak_covars,0.7464494217574756,0.5567714203518314,0.9938101523537826,0.983358547655068,0.9949479839438237,0.9959232274321841
attn,hcpd,44.0,leak_covars,-0.06411734865806797,-0.359791059971474,0.9063539869818058,0.9349412241588975,0.8022556927009193,0.9779036419996687
attn,abcd,60.0,leak_covars,0.06481162577273808,-0.006135319577464049,0.9740396178113623,0.9466757431359202,0.9806334779535502,0.971893493654651
attn,hbn,74.0,leak_covars,-0.03455374858501661,-0.25179402825638,0.9751786960996147,0.954428373291064,0.9587487255956074,0.9846314802121288
age,pnc,67.0,leak_covars,0.6465381526479237,0.4176256389049573,0.9933915662839564,0.9860088365243005,0.9954656247544157,0.996807301881169
mr,abcd,16.0,leak_covars,0.1042464915698323,0.007744842137915486,0.9810848253027737,0.9534118936694985,0.97961421320238,0.9790028140558483
mr,hbn,11.0,leak_covars,0.22425418364780414,0.03858085649946008,0.9643800930285031,0.9239797279274473,0.9737717160282533,0.9933621933621937
attn,pnc,39.0,leak_covars,0.014781236456360834,-0.16969778390482348,0.9709824289295601,0.9530284301606922,0.9516749476477504,0.983657419098813
age,abcd,90.0,leak_covars,0.13593991062381763,0.013776833516426668,0.993519264419055,0.987378640776699,0.9979632919815962,0.9972940800949113
age,abcd,41.0,leak_covars,0.09762792245212627,-0.026889972218767877,0.9869513688394241,0.9809546769527483,0.9841555042019929,0.9946784536979194
attn,hcpd,32.0,leak_covars,-0.052819162691656873,-0.26490884133600745,0.9120619463571213,0.9379907388765855,0.8562117029151479,0.9677076018574526
attn,hcpd,94.0,leak_covars,-0.04318728679063427,-0.31501207554453625,0.8726725280628406,0.9371327849588719,0.7644070620048883,0.9837650630545478
age,pnc,96.0,leak_covars,0.6416558976120921,0.4116231533245448,0.9948268401752787,0.9908020603384842,0.996379635523786,0.9987733166654884
attn,hbn,13.0,leak_covars,-0.04094371281873484,-0.24857842790728002,0.9757623143499775,0.9542958022754021,0.9571809797568769,0.970504941622119
age,hcpd,65.0,leak_covars,0.7775134137414661,0.6044137470196178,0.8990321686356192,0.9802402169701666,0.9516512194321444,0.9945700216291905
mr,pnc,38.0,leak_covars,0.22897458761360168,-0.00035515166843413937,0.9749723721575324,0.9620449264136328,0.971411220680229,0.9946427606733635
mr,hbn,35.0,leak_covars,0.15640647628223134,-0.033216684791176565,0.845654738938884,0.925531914893617,0.8844062562240675,0.9909991163068913
age,hcpd,15.0,leak_covars,0.7861190978380673,0.6177778440627151,0.9572517989545418,0.9811849479583667,0.9656931344107995,0.9953459007662595
age,abcd,99.0,leak_covars,0.12716659635251387,0.00956862395270841,0.9919854722833539,0.9845170803637258,0.9967967501415745,0.9970055566052675
age,hbn,91.0,leak_covars,0.7517037912410822,0.56476302713036,0.9931881804173244,0.9819954988747187,0.9948845484501418,0.997762944254014
attn,abcd,74.0,leak_covars,0.04396389783313147,-0.01332048507593142,0.9703359110487147,0.9470284237726099,0.9737743396794919,0.9853705173533445
attn,abcd,72.0,leak_covars,0.036081817399309116,-0.027479801463812015,0.9472171354789973,0.9423932384341637,0.9371304087313127,0.9841785322642159
age,pnc,9.0,leak_covars,0.6228612972466597,0.3871933855867984,0.9945665951484989,0.9859933652782897,0.9960667976689525,0.9991341678992746
age,hbn,50.0,leak_covars,0.7507525154008179,0.5631674744232767,0.9926515769922056,0.9832380952380952,0.994889087664638,0.9968973236879591
age,hbn,6.0,leak_covars,0.752937787144223,0.5665112158855661,0.9944259418704976,0.9857856319631195,0.9951794261909711,0.99751055568706
age,pnc,17.0,leak_covars,0.6391543266665684,0.40832125478599024,0.9951626482501961,0.990302126072361,0.9969005268883956,0.9991341054226648
attn,hcpd,5.0,leak_covars,-0.06947469168169161,-0.37502706398154273,0.8960371944376293,0.9389973827259915,0.7889997579991871,0.9746198388944268
age,abcd,92.0,leak_covars,0.1390341980283734,0.015014115555896601,0.992137945509677,0.982362497099095,0.9910137889232675,0.9977633477633479
age,pnc,71.0,leak_covars,0.6398653288672601,0.40941017732332086,0.9944387562964737,0.9848708487084871,0.995911393594936,0.997167956581231
mr,hcpd,43.0,leak_covars,0.21146276121190288,0.005059917766412014,0.9675394294810689,0.9306981519507187,0.9546564850597333,0.9623002272809262
