pheno,dataset,seed,leakage_type,r,q2,r_yp
age,hbn,54.0,leak_covars,0.49581657739506524,0.24489139854454367,0.9997151973294892
age,hbn,75.0,leak_covars,0.49916883652012556,0.2484335921498383,0.9996679524134822
age,hbn,17.0,leak_covars,0.5001616763751482,0.24956334340603226,0.9998636217986174
attn,hcpd,44.0,leak_covars,0.0036873871622128958,-0.24107702207271453,0.9876326571665545
attn,abcd,60.0,leak_covars,0.040856755588468185,-0.003230583544661103,0.9988882531118757
attn,hbn,74.0,leak_covars,-0.0481438022214186,-0.26673025423210506,0.9899860346082722
age,pnc,67.0,leak_covars,0.343089339150214,0.11640004605774357,0.9999244532497947
mr,abcd,16.0,leak_covars,0.07423133640782865,0.004220252463388308,0.9997268898306021
mr,hbn,11.0,leak_covars,0.23991280143986715,0.0348099458408061,0.9954823304775657
attn,pnc,39.0,leak_covars,0.04453070236751543,-0.1573383567746125,0.9911124398255013
age,abcd,90.0,leak_covars,0.0649388703009584,-0.00649159602518079,0.9997181134423808
age,abcd,41.0,leak_covars,0.06870696438058195,-0.006478420658706074,0.9995291843197384
attn,hcpd,32.0,leak_covars,0.005165658358246396,-0.20971784835019847,0.9843649460867404
attn,hcpd,94.0,leak_covars,-0.03845057758785403,-0.2817095187178771,0.9865753759286601
age,pnc,96.0,leak_covars,0.34254973371808867,0.11575908454372008,0.9998631156401098
attn,hbn,13.0,leak_covars,-0.07108926599647217,-0.2744940969975249,0.9882418074367979
age,hcpd,65.0,leak_covars,0.607616874303229,0.36813166903838024,0.9998113868283983
mr,pnc,38.0,leak_covars,0.2514096767621364,0.031791301288059626,0.998731804877352
mr,hbn,35.0,leak_covars,0.23588354709890738,0.02997625966921058,0.9944530929424569
age,hcpd,15.0,leak_covars,0.6159524323796844,0.3788031684205426,0.9990726817705787
age,abcd,99.0,leak_covars,0.07338462082148689,-0.004576212635895471,0.9995977001161346
age,hbn,91.0,leak_covars,0.49347447709070175,0.2422207838790641,0.9998390497316298
attn,abcd,74.0,leak_covars,0.02918879288086076,-0.006274601494184351,0.9985034646927223
attn,abcd,72.0,leak_covars,0.040525856551388975,-0.003375818419922405,0.9985851959824551
age,pnc,9.0,leak_covars,0.339819640651516,0.11388335853440168,0.9998756925366398
age,hbn,50.0,leak_covars,0.49916340487715877,0.24844401013515616,0.9996402327483732
age,hbn,6.0,leak_covars,0.5017618882792528,0.25126381123547537,0.9998035305098966
age,pnc,17.0,leak_covars,0.345424234983916,0.11813083854556439,0.9997662194133844
attn,hcpd,5.0,leak_covars,-0.030184500581977677,-0.27177383829621116,0.989390326128572
age,abcd,92.0,leak_covars,0.05746326073347742,-0.007528139261162803,0.9994286318791927
age,pnc,71.0,leak_covars,0.34598995396359017,0.11855957966396724,0.9999042868842993
mr,hcpd,43.0,leak_covars,0.2606686365002799,0.03325953170468077,0.99530676669965
attn,hcpd,29.0,leak_covars,-0.006545750666966042,-0.23044803547985704,0.9771821349282962
age,hcpd,34.0,leak_covars,0.6104729787488258,0.37206577459059875,0.9995071475124436
mr,hbn,45.0,leak_covars,0.24233733959826925,0.03791385608329545,0.9947558286424129
age,hcpd,28.0,leak_covars,0.6099383984272881,0.3714380270982567,0.9993554540954884
mr,pnc,56.0,leak_covars,0.25387086332118763,0.0363752281646641,0.9984333906357707
mr,hcpd,17.0,leak_covars,0.24591108731048789,0.014816925749077003,0.9938421731099335
attn,pnc,26.0,leak_covars,0.001957823647962572,-0.19471341656207963,0.9906586055356862
mr,abcd,87.0,leak_covars,0.06794959475327406,0.0026933117390832706,0.9996765227739692
attn,abcd,91.0,leak_covars,0.041241261030666776,-0.003127129598816669,0.9984935785335036
