pheno,dataset,seed,leakage_type,r,q2,r_coef,feat_overlap,r_yp
mr,hcpddti,12.0,leak_covars,0.38574275823157,0.14807721038940702,0.9918903801487052,0.9922178988326849,0.9989331749922202
age,hcpddti,65.0,leak_covars,0.7340494267964572,0.5383291863767498,0.9971372337984287,0.9950089126559715,0.9984592607948305
age,hcpddti,70.0,leak_covars,0.7342258670553322,0.5384144359502496,0.9972902644038719,0.9946255822285919,0.9983990022557376
mr,hcpddti,11.0,leak_covars,0.27593246884021755,0.07174814220256132,0.9924515333240215,0.9902229174814235,0.9991991169451009
mr,hcpddti,21.0,leak_covars,0.26414268312502276,0.06512700755336742,0.9959399698211495,0.9874399704469893,0.9995142059889376
mr,hcpddti,50.0,leak_covars,0.3803604212798212,0.14447799866623035,0.9623102219444932,0.9917726252804787,0.8731264635511005
attn,hcpddti,15.0,leak_covars,0.08510594881682354,-0.10052625464598042,0.9404938314326289,0.8097281831187411,0.9362741356240482
mr,hcpddti,26.0,leak_covars,0.39249044319724663,0.15325686559034335,0.9979806117517883,0.9887466045789678,0.9998241684084996
age,hcpddti,7.0,leak_covars,0.7193015021312605,0.517284955162114,0.9982049952991666,0.9961471103327496,0.9988837691034931
age,hcpddti,92.0,leak_covars,0.7183309739638862,0.515845746713912,0.9964493450027477,0.995724973281083,0.9983574327973154
age,hcpddti,86.0,leak_covars,0.7283623460150038,0.5304224499170609,0.997663982811924,0.9972404277337013,0.9988224511137045
mr,hcpddti,84.0,leak_covars,0.33580055107966283,0.11263389249241718,0.9969188809902408,0.9895993836671803,0.9996990677433326
attn,hcpddti,10.0,leak_covars,-0.02015084720117786,-0.15326699433959057,0.935673667810332,0.794448267951365,0.9308880101758572
mr,hcpddti,94.0,leak_covars,0.33573867622289705,0.11203717685998549,0.9922368573506813,0.990487514863258,0.9996940084645749
attn,hcpddti,83.0,leak_covars,0.09315810236884779,-0.06081850067047467,0.9460949041379423,0.7982909826849561,0.9294810538702181
attn,hcpddti,5.0,leak_covars,0.04371652195792945,-0.14442766906493287,0.9390656518212217,0.7894114866461829,0.9364839288489395
age,hcpddti,22.0,leak_covars,0.7235842386216437,0.523267605792469,0.9981928561684699,0.9953455066237021,0.9990223397718887
mr,hcpddti,34.0,leak_covars,0.20164197791854407,0.03787385153944056,0.9828202477930673,0.9936567164179104,0.997970754042334
age,hcpddti,44.0,leak_covars,0.7287463875133886,0.5302003294431727,0.9974490601011626,0.9950266429840142,0.9985826779414297
attn,hcpddti,17.0,leak_covars,0.05390377347979739,-0.13400286381489535,0.9435591890820176,0.8076392084675563,0.9183822494129968
attn,hcpddti,48.0,leak_covars,0.10293195463713883,-0.07581358043759456,0.9350279491329863,0.7971773275665832,0.9183135840632474
mr,hcpddti,66.0,leak_covars,0.3193192066931498,0.09919078783851121,0.9966669449441705,0.9919443427316001,0.99974976740211
