pheno,dataset,sample_size,resample_seed,perfeat,kfold_seed,leakage_type,r,q2,r_yp,r_gold
age,abcd,200,7,0.05,4,leak_covars,-0.03461371587874126,-0.18593082926330973,0.9647195420163737,-0.055268887671985005
mr,abcd,200,8,0.05,1,leak_covars,-0.08418434280837618,-0.1280871553890901,0.7300557173551788,-0.02232458846905713
mr,pnc,400,9,0.05,2,leak_covars,0.20081260213302843,-0.013702023936787544,0.9245188200546637,0.22825680240030236
attn,hcpd,200,4,0.05,6,leak_covars,-0.02337749776569379,-0.23487517061664742,0.8059100427030225,-0.010887239590148295
age,pnc,400,3,0.05,4,leak_covars,0.5734891625652457,0.3260337306220792,0.987994390613158,0.5750906544857947
attn,pnc,300,2,0.05,3,leak_covars,-0.0977540175590846,-0.1400650474120675,0.8145965955133788,0.00456995496339851
mr,hcpd,200,0,0.05,0,leak_covars,0.09122058270816974,-0.10996697945342682,0.7816394539398167,0.19329770489463644
attn,abcd,300,8,0.05,5,leak_covars,0.0283831499987857,-0.1294437790904739,0.9121184401745502,0.07310330676321583
attn,pnc,200,0,0.05,3,leak_covars,0.01705040396606648,-0.05562488034539914,0.7705130588145217,0.12670441293699372
mr,pnc,100,4,0.05,5,leak_covars,-0.007219932657198494,-0.08050709622067242,0.631694857686403,0.12505166067289977
attn,pnc,100,9,0.05,3,leak_covars,-0.25439365696944033,-0.16479763262730485,0.5548824822678404,-0.2531475626976775
attn,abcd,400,2,0.05,4,leak_covars,0.13565376159644194,-0.058408727095882185,0.9751462956872289,0.1552722423259601
mr,hbn,400,9,0.05,7,leak_covars,0.03355431482546736,-0.10909730629594194,0.8080656229977193,0.21598223908836783
attn,pnc,200,8,0.05,9,leak_covars,0.026998314549436665,-0.07195383049619064,0.8021291404117532,0.10069003083073907
age,abcd,300,9,0.05,7,leak_covars,0.05612270870948301,-0.11049657506539301,0.949982100210875,0.05474975706992958
attn,pnc,100,6,0.05,7,leak_covars,-0.06067702511819645,-0.22111724684276557,0.7851263068400156,0.07923822147035482
mr,hcpd,100,3,0.05,4,leak_covars,-0.09799188845908374,-0.1562577524368094,0.7625123524518939,0.054004953140400026
mr,pnc,200,5,0.05,0,leak_covars,-0.016006231079917582,-0.09747325148824149,0.8798849092600044,0.051394088209339266
attn,abcd,100,1,0.05,2,leak_covars,0.14123823305179112,0.014928482444792834,0.8292763086146212,0.06683415802801784
mr,hbn,300,1,0.05,2,leak_covars,0.026166870440152996,-0.14959037058903557,0.7353388936554053,0.24491994452344343
age,hbn,100,6,0.05,2,leak_covars,0.549782047928678,0.29757974894388184,0.9400744112418334,0.5218169142167267
mr,pnc,200,9,0.05,0,leak_covars,0.12439728267663067,-0.05790305182050104,0.9440805029497035,0.1254637029486683
attn,hcpd,300,4,0.05,7,leak_covars,-0.039389634362702756,-0.2862921984065554,0.8391369005763367,0.018450257500313483
age,abcd,400,8,0.05,2,leak_covars,0.17450415363370522,-0.02267349816611297,0.9848356326206248,0.18116058849058328
age,hbn,100,3,0.05,8,leak_covars,0.5300188638575853,0.2748140804511725,0.9266966114957366,0.5531897904196259
age,pnc,200,3,0.05,7,leak_covars,0.3878082174906478,0.14538563750465594,0.9856011733012698,0.3771883043042361
mr,hcpd,200,5,0.05,4,leak_covars,0.15044567608769746,-0.045768982538569425,0.9164476118362044,0.2700682292114914
attn,hbn,100,8,0.05,8,leak_covars,0.09908679231897354,0.0025288995534431535,0.7329822138014715,-0.02024960452245605
mr,pnc,100,9,0.05,5,leak_covars,0.0888840126178529,-0.08343435879615368,0.879405954753557,0.12454166552034678
mr,hcpd,300,7,0.05,3,leak_covars,0.10441489324420514,-0.09767125129743315,0.9167448935572229,0.2180140091251853
age,abcd,200,4,0.05,8,leak_covars,0.1533303412501821,-0.03478066429342652,0.9937021049754677,0.15974053322664097
age,hbn,300,5,0.05,3,leak_covars,0.6398367713675868,0.4040322545222802,0.9889010473707939,0.6453157817781862
age,hbn,400,0,0.05,7,leak_covars,0.6929562307974506,0.47518365418052877,0.9907505697080335,0.7126319166447288
attn,hbn,400,1,0.05,9,leak_covars,-0.0322618947436729,-0.19555436478966182,0.8348578207254784,0.030020487683454167
mr,hcpd,300,8,0.05,4,leak_covars,0.18191675486523756,-0.02454433017827351,0.9256943513298319,0.31928929823877733
attn,abcd,400,3,0.05,9,leak_covars,0.09297240778992734,-0.07636282227257118,0.9173170551592457,0.11566803547924458
age,pnc,200,0,0.05,7,leak_covars,0.4200919137301556,0.1678448259704981,0.8726865953302771,0.494784045912753
attn,hbn,200,8,0.05,1,leak_covars,-0.16605932060179604,-0.2789153525795085,0.8426385047727671,-0.11423394184328374
age,hbn,400,5,0.05,7,leak_covars,0.6570661555965752,0.42961916002882006,0.9937516024164443,0.6652122434916019
age,hbn,300,7,0.05,6,leak_covars,0.6303905420053753,0.3954773384659891,0.9781436117678429,0.6573436368618573
age,pnc,300,3,0.05,9,leak_covars,0.461679313566198,0.20911578833422695,0.9905478441836632,0.4564942462809051
mr,pnc,200,8,0.05,1,leak_covars,0.14441248442357568,-0.07059695916311037,0.8475383591045323,0.21753030158201986
attn,hcpd,200,2,0.05,8,leak_covars,-0.18525836131934298,-0.3395222640416051,0.7550175907882896,-0.08641184891094858
age,hcpd,100,6,0.05,3,leak_covars,0.6388377267153401,0.40726934958304584,0.9520916271092266,0.6683312482932312
mr,hbn,300,5,0.05,2,leak_covars,-0.08586929399902415,-0.11449366485060564,0.8381178702864859,0.08593026975281869
mr,abcd,400,1,0.05,2,leak_covars,-0.01180261646128111,-0.09849291382619807,0.857524575822758,0.03904193359473986
mr,hbn,200,4,0.05,2,leak_covars,0.06177738302315766,-0.09651909227841649,0.684234192271375,0.18695286587625665
attn,hcpd,200,6,0.05,6,leak_covars,-0.17374259070292106,-0.24109902529444693,0.877830043801723,-0.03437284225968596
attn,hcpd,100,3,0.05,2,leak_covars,0.08117072774308653,-0.11676878706954263,0.8903195944253455,0.11815972589759084
mr,abcd,300,2,0.05,4,leak_covars,0.07285248744306694,-0.09023005550287522,0.9574209450896666,0.09823558140884289
attn,hcpd,100,0,0.05,5,leak_covars,-0.11742485112554256,-0.145759619956483,0.8143008365327962,-0.20889932215773338
attn,abcd,100,6,0.05,2,leak_covars,-0.15757029817135032,-0.09932881581301523,0.8598172390036843,-0.02908656052651606
attn,hbn,200,9,0.05,4,leak_covars,0.008712901491780134,-0.03215196457886216,0.9052908435784264,0.05804647471009083
mr,abcd,400,1,0.05,3,leak_covars,-0.016491844573438004,-0.11784071850924649,0.8383765039044865,0.03884403994589271
attn,hbn,300,2,0.05,2,leak_covars,0.10798932226314023,-0.06724075352378112,0.9371245471672843,0.12211197777022822
age,hbn,400,4,0.05,6,leak_covars,0.6328095677371879,0.39952597411069013,0.9815095687044064,0.661011516609406
attn,abcd,100,1,0.05,9,leak_covars,0.1213009388073888,0.00614245369464872,0.9166709101824635,0.08428993020324135
mr,abcd,300,2,0.05,3,leak_covars,0.07140658112119877,-0.08989877224267784,0.95160031339537,0.0579657312372249
mr,hcpd,100,7,0.05,7,leak_covars,0.01589914260444788,-0.1773526369031342,0.7709052733829505,0.3010974633440778
age,pnc,100,9,0.05,4,leak_covars,0.3892951322642515,0.14852036951272374,0.8748203312596949,0.467962493648416
age,hcpd,200,1,0.05,9,leak_covars,0.6568936592790089,0.43081767547222005,0.9923660441506381,0.6861768955496227
attn,pnc,400,9,0.05,4,leak_covars,0.008060712591311685,-0.1855783822661079,0.8226088372260498,0.06350589402326458
age,pnc,100,4,0.05,9,leak_covars,0.1378180743876968,-0.09131879282950783,0.6142264966193107,0.278294798545527
attn,hcpd,200,7,0.05,1,leak_covars,-0.10840887788454584,-0.28378734182123844,0.8664390682102495,-0.0664643877844289
mr,hcpd,200,6,0.05,5,leak_covars,-0.014255098328491127,-0.1554738064161294,0.8061749519472762,0.14703216310530334
age,hbn,300,4,0.05,4,leak_covars,0.6559145207181427,0.42393476239775896,0.9908725042161274,0.6593593368613604
mr,hbn,300,2,0.05,4,leak_covars,0.007007811573545355,-0.15990235386263896,0.7138237709958037,0.164642690782124
attn,pnc,300,1,0.05,8,leak_covars,-0.1102966752742613,-0.18358741188126992,0.8626910852441062,-0.09922544823262475
mr,pnc,100,0,0.05,9,leak_covars,0.09894206401143658,-0.01825448563952836,0.8894883449182404,0.13694147480196325
age,pnc,100,7,0.05,4,leak_covars,0.4617304557605804,0.21035658129311496,0.9166119940761078,0.48365741101924925
age,pnc,100,3,0.05,9,leak_covars,0.396517414301268,0.142443838981129,0.9084285971383167,0.37228704392739714
mr,abcd,200,5,0.05,2,leak_covars,-0.03711521145712546,-0.07406635388052596,0.8691494291633918,0.018120974372764203
mr,pnc,100,1,0.05,3,leak_covars,0.06430450599079317,-0.008856437222546365,0.8297954632872793,0.1624115541933064
attn,abcd,100,3,0.05,0,leak_covars,0.11351711450562392,-0.04169824878865036,0.7576916100643389,0.10048040735729415
age,hbn,400,0,0.05,5,leak_covars,0.6766097841360422,0.4534940620454637,0.9887513871371925,0.6907505369953459
attn,abcd,100,2,0.05,9,leak_covars,0.06157916627763694,-0.00667052717747274,0.9833930845267059,0.04399263733581531
attn,hbn,100,7,0.05,9,leak_covars,-0.2602779121297307,-0.35717480140070057,0.5701845713792397,-0.21029769719927824
age,abcd,200,0,0.05,9,leak_covars,-0.14775893817953564,-0.2041949333469706,0.9578297514720578,-0.14754797864877706
mr,pnc,400,2,0.05,3,leak_covars,0.21223376702594415,-0.015588343897007695,0.8793233879902136,0.28861357087372336
attn,abcd,200,6,0.05,2,leak_covars,-0.076834959805936,-0.11838436078610881,0.7863557701140316,0.06394433223617402
mr,pnc,400,7,0.05,5,leak_covars,0.16941402973348582,-0.06061942120881092,0.8845236813409941,0.28018185558969
mr,hbn,200,6,0.05,1,leak_covars,0.0017975307264295375,-0.23514917737196983,0.6268948088861189,0.1723819199312958
age,hbn,100,4,0.05,9,leak_covars,0.4871386276910687,0.22622699280313918,0.9158770249486956,0.531469691655222
mr,pnc,200,5,0.05,1,leak_covars,0.004373056951959148,-0.14360147191416184,0.8188007218949717,0.033025811498147886
age,pnc,400,8,0.05,1,leak_covars,0.5456775012635388,0.2958673361826991,0.9752392675057117,0.5655575303734255
age,pnc,100,0,0.05,4,leak_covars,0.34633303766187973,0.1197447008209317,0.9330446494571432,0.3155019637035409
mr,abcd,400,3,0.05,8,leak_covars,-0.025950457413073502,-0.11912290018803362,0.892264068909072,-0.00014378753840641183
age,abcd,100,9,0.05,5,leak_covars,0.08918897038929931,-0.026385542318860145,0.8566911884993533,0.05583785335866684
attn,hcpd,300,5,0.05,7,leak_covars,-0.07319906011407724,-0.2633003847437547,0.7803425356931574,0.0012299461312150004
age,hbn,200,6,0.05,1,leak_covars,0.6599484984908875,0.43210708452779134,0.976123095823262,0.6706912200472058
attn,abcd,300,2,0.05,3,leak_covars,0.15721590414897976,-0.023924108742359618,0.9801127230170315,0.17465411850842996
attn,hbn,300,8,0.05,8,leak_covars,-0.015217475702673107,-0.16575200412802893,0.8678337909047026,0.02752837200435824
age,hbn,200,2,0.05,5,leak_covars,0.6329006033132334,0.3979803757609547,0.9650400780905031,0.6793627244046871
attn,pnc,100,1,0.05,0,leak_covars,-0.046057856734060494,-0.03790656161507355,0.8846726653680212,-0.04441535655894367
age,hbn,100,4,0.05,7,leak_covars,0.4856546612225156,0.2150730237344065,0.9162962794325439,0.5559793471291963
attn,pnc,400,6,0.05,2,leak_covars,-0.09738726922735517,-0.24011555694694797,0.9635381185844356,-0.09459561003175303
age,hbn,200,2,0.05,1,leak_covars,0.6494905949959463,0.41944955617738033,0.9641889520591739,0.6844198356353784
attn,hcpd,100,7,0.05,0,leak_covars,-0.2148706310241911,-0.1400076519407667,0.6347987954851062,-0.15829378645327083
attn,hbn,300,0,0.05,6,leak_covars,-0.05794821104365873,-0.18605435772045853,0.9111779347107173,-0.04102802788694484
attn,hcpd,300,8,0.05,3,leak_covars,-0.08826643712499503,-0.2978384872687576,0.73662651295491,-0.004979835422776634
age,hbn,200,8,0.05,4,leak_covars,0.6482223334349525,0.4118786162334078,0.9702720225033873,0.658734039670421
mr,hbn,200,4,0.05,1,leak_covars,0.014208024860193711,-0.08270601292857549,0.7613966011683634,0.12987809100146677
mr,pnc,100,6,0.05,2,leak_covars,-0.018539512654852673,-0.05637483444379021,0.7729654570985646,0.04864106299145214
mr,pnc,400,0,0.05,5,leak_covars,0.07695211602810569,-0.12318507441487947,0.9128489925393062,0.13161934409617546
attn,pnc,100,2,0.05,6,leak_covars,-0.1768778713559195,-0.12628471628321303,0.7302809932651262,-0.08907755036430251
mr,pnc,300,2,0.05,4,leak_covars,0.15491338423548284,-0.057327939274758766,0.9553094012472763,0.1997157925070279
attn,abcd,400,4,0.05,3,leak_covars,0.04588867342555422,-0.1313369608767141,0.9619677760799374,0.0869753106660549
attn,hbn,400,8,0.05,1,leak_covars,-0.030717888860753353,-0.14927712915038138,0.9451253024465888,-0.012686941707238667
mr,hbn,300,6,0.05,9,leak_covars,-0.06931842569226565,-0.34875127526064387,0.6340201519332423,0.215529617218868
attn,hcpd,100,5,0.05,4,leak_covars,-0.15768385174512098,-0.19493809084259595,0.650231917993302,-0.06585106017747805
mr,pnc,200,2,0.05,1,leak_covars,0.055773175160047234,-0.13297601050457697,0.864928422066598,0.04940667247242875
attn,hbn,400,0,0.05,7,leak_covars,0.006681105916496241,-0.18756625268433802,0.9246068465551589,0.015900642244789338
age,pnc,300,1,0.05,0,leak_covars,0.5324443381171302,0.28260669624579204,0.953339034960184,0.5562287625849971
age,hbn,200,6,0.05,0,leak_covars,0.6469620209915854,0.41431556902940514,0.9730656534162231,0.6676923210714862
mr,abcd,200,6,0.05,4,leak_covars,-0.042637311226130056,-0.1504779790851949,0.8619797770851445,0.02395375640319346
mr,hcpd,300,7,0.05,0,leak_covars,0.029850093192959507,-0.23302905470273072,0.8024765332044599,0.2702548135479001
age,hcpd,400,6,0.05,8,leak_covars,0.8037441139358775,0.6458988659991853,0.9681180758596365,0.8244955786293674
attn,hcpd,300,5,0.05,6,leak_covars,0.012101747025425644,-0.14318789701562706,0.8166728378710784,0.02083141711834931
age,hcpd,200,0,0.05,8,leak_covars,0.6730318661026927,0.4495468807224301,0.970084875207675,0.7146821557665486
age,hbn,300,2,0.05,3,leak_covars,0.70812508423589,0.4968809402965282,0.9871204527520829,0.7168268741332388
age,hbn,400,7,0.05,7,leak_covars,0.6734865175130177,0.45247402629308875,0.9850143827789938,0.6967666729786678
mr,hbn,400,6,0.05,6,leak_covars,0.0002061598888544615,-0.1633055976321598,0.7404870512059429,0.2209936507384275
age,hcpd,200,4,0.05,4,leak_covars,0.7995819992708731,0.6388273592461347,0.9777343060293858,0.8034752945518413
age,abcd,300,8,0.05,5,leak_covars,0.15790404912380646,-0.030020255894438908,0.9851496895783821,0.15255681920015415
age,pnc,400,4,0.05,2,leak_covars,0.5075187484532339,0.2522483572407843,0.9686854965388203,0.5304590290959434
mr,pnc,300,8,0.05,5,leak_covars,0.2153623310949144,-0.0234138239624333,0.916889127053028,0.26184063837163357
mr,abcd,200,7,0.05,2,leak_covars,-0.08852794838911456,-0.10359112685187788,0.8070746924662019,0.03568959100193193
mr,hbn,400,8,0.05,4,leak_covars,0.08919078144122702,-0.05012888970571594,0.9179605602052017,0.2268433298582746
mr,abcd,200,4,0.05,3,leak_covars,-0.0918921258502854,-0.09510223651896554,0.7335814235762295,-0.049040292263449144
attn,pnc,400,8,0.05,9,leak_covars,-0.0342252195974876,-0.16176156605894243,0.9389729408805303,-0.022218822740988877
attn,hbn,400,1,0.05,1,leak_covars,0.0003124083731783816,-0.15119023197894266,0.7701966358562964,0.029926537045843183
attn,pnc,400,8,0.05,8,leak_covars,-0.02631406778543974,-0.16695096921043606,0.9241849076438563,0.005298177830114231
attn,pnc,300,9,0.05,7,leak_covars,-0.04598308072257333,-0.21637300474564936,0.8369855312514856,-0.0043528030598089995
mr,pnc,300,5,0.05,1,leak_covars,0.156096731835057,-0.05412929278902001,0.8554232922751177,0.22033609046869299
mr,hbn,300,7,0.05,4,leak_covars,0.08177326057446578,-0.049382151683583064,0.911838711840091,0.23637363761754254
mr,hcpd,100,5,0.05,0,leak_covars,-0.0034331602926134467,-0.2828828404655337,0.6752667233495651,0.2430307195260721
attn,hcpd,100,0,0.05,2,leak_covars,-0.052321796298688085,-0.10820271450975039,0.741974116297972,-0.07450110588598544
mr,hbn,100,7,0.05,8,leak_covars,0.11956932681980147,-0.012737746176830322,0.7046603588813509,0.304089279136976
attn,abcd,100,0,0.05,2,leak_covars,0.20098923474388136,0.016306461671699246,0.8480312718818434,0.18871382889151303
mr,pnc,100,5,0.05,7,leak_covars,-0.2780649666837516,-0.19593729703787566,0.4901147732648638,-0.1768098843146198
age,pnc,200,5,0.05,3,leak_covars,0.4899770854862143,0.2278253545223572,0.9386373423286605,0.5316553859050441
attn,abcd,300,2,0.05,6,leak_covars,0.25630755402278144,0.04595092258975497,0.9769883668521611,0.2707301942644497
attn,hcpd,300,1,0.05,1,leak_covars,-0.004162756543709008,-0.25344602363907787,0.7605120602005522,0.0679937190320008
attn,abcd,300,3,0.05,6,leak_covars,0.17324335498060822,-0.024235790995774664,0.9032578945375015,0.21948635093063143
attn,abcd,400,3,0.05,4,leak_covars,0.05658652554790096,-0.11047766201576437,0.9325683424619026,0.09710660668493722
mr,hbn,200,5,0.05,2,leak_covars,-0.18831160289703788,-0.13948647323457686,0.6017113750810624,0.05770881046759226
age,hbn,300,1,0.05,2,leak_covars,0.666955933981361,0.4394893561793798,0.9931627040250732,0.6786452668761962
age,hbn,300,4,0.05,0,leak_covars,0.699709041976486,0.4766778737405809,0.9902869866714766,0.7056106415195896
mr,hbn,300,9,0.05,2,leak_covars,0.06596263707972379,-0.10508439280608584,0.6241753048225861,0.27987063260114536
attn,pnc,300,5,0.05,2,leak_covars,-0.06645990276791361,-0.2219741604019494,0.8931576582139941,-0.054374148658763874
age,abcd,100,2,0.05,5,leak_covars,0.0320032100985272,-0.12640363213152628,0.9741217215012532,0.059933476120823316
mr,hcpd,100,8,0.05,1,leak_covars,0.03628579955509912,-0.08907894219423507,0.7944834444473123,0.13210760032945815
mr,hcpd,100,8,0.05,6,leak_covars,0.02327858568929022,-0.09098520352725203,0.7993390251338531,0.12209345151884499
age,hbn,400,4,0.05,3,leak_covars,0.6376960760074515,0.4062070897428294,0.9842052403080229,0.6745235081103375
age,hcpd,300,6,0.05,1,leak_covars,0.7750738594868415,0.5998890747645791,0.9531436136458304,0.7917321362976572
attn,pnc,100,9,0.05,7,leak_covars,-0.3116991827836397,-0.1213144965159001,0.7676832582008362,-0.29980362700623003
age,abcd,300,0,0.05,9,leak_covars,-0.11904091281116534,-0.2702936958948785,0.9167011318373541,-0.09289946073848206
mr,pnc,200,3,0.05,5,leak_covars,0.21872477300136212,0.02697367037640086,0.9026025929683913,0.30916431455330745
attn,abcd,400,0,0.05,0,leak_covars,0.17072769556813466,-0.04410288035533827,0.9536850154554524,0.2293454363149811
age,pnc,200,3,0.05,2,leak_covars,0.3732980827575125,0.13604714772609083,0.9939907126568887,0.36073234588765013
mr,pnc,200,8,0.05,4,leak_covars,0.18812521141737096,-0.014034971226119852,0.9043751217590742,0.21686678290541536
age,hbn,400,5,0.05,0,leak_covars,0.6435216392122785,0.4128262216988259,0.9946709779316125,0.6518543984000075
mr,pnc,300,7,0.05,1,leak_covars,0.2068291057783,-0.004002853824520258,0.9328615234222075,0.2458147472188694
mr,hbn,200,8,0.05,9,leak_covars,0.011250439120985192,-0.06386300673497436,0.81627526860677,0.1960483545419251
age,abcd,100,4,0.05,2,leak_covars,-0.029243348476078207,-0.27566591834388765,0.7926320830137101,0.08037080892816427
age,pnc,300,7,0.05,0,leak_covars,0.5231220548325449,0.269074782133346,0.9769443775035934,0.5171871082481698
age,hcpd,100,9,0.05,6,leak_covars,0.6859927887789209,0.4700952782623269,0.9252193432586369,0.7239566001406278
attn,pnc,100,6,0.05,0,leak_covars,-0.02359894655072692,-0.10061034923817513,0.8691919516153277,0.0005190497573179433
mr,hbn,100,3,0.05,9,leak_covars,-0.1169449983260228,-0.1236402495204787,0.7636835267842478,0.18335277410559453
age,abcd,300,3,0.05,9,leak_covars,0.02610909666703875,-0.11729445448713594,0.8978690148561722,0.08524013333665566
