pheno,dataset,seed,leakage_type,r,q2,r_yp
age,hbn,54.0,leak_covars,0.7373614257490202,0.5399718489589811,0.9973633825058678
age,hbn,75.0,leak_covars,0.7428894721222219,0.5468560709643278,0.996871205957149
age,hbn,17.0,leak_covars,0.7446775050529036,0.5492798965951874,0.9970135156804533
attn,hcpd,44.0,leak_covars,-0.05708256046966231,-0.173079985056388,0.9539682896181728
attn,abcd,60.0,leak_covars,0.12058137863371399,-0.08878483825213879,0.9880480386863901
attn,hbn,74.0,leak_covars,-0.028461193471935625,-0.1791398155543309,0.9714809070491015
age,pnc,67.0,leak_covars,0.6301470686022955,0.39388404360990426,0.9968641653056542
mr,abcd,16.0,leak_covars,0.24268164660326833,0.055883770709005076,0.9943970634646295
mr,hbn,11.0,leak_covars,0.2507908356224541,0.026924899045127515,0.9496397904612642
attn,pnc,39.0,leak_covars,0.024804737349334985,-0.11743965106821452,0.9700091588083221
age,abcd,90.0,leak_covars,0.2346466628823549,0.026486872288459806,0.9966901579549629
age,abcd,41.0,leak_covars,0.24102740919493482,0.029239102974185638,0.997037862307669
attn,hcpd,32.0,leak_covars,-0.026019947251098022,-0.12649837951617426,0.9459279547991085
attn,hcpd,94.0,leak_covars,-0.06266943265082395,-0.16476819871471338,0.9468963085113695
age,pnc,96.0,leak_covars,0.6260634096944143,0.3898815152973857,0.997225838385066
attn,hbn,13.0,leak_covars,-0.01803079436132812,-0.17283155921490234,0.973435257151658
age,hcpd,65.0,leak_covars,0.790635940153077,0.6202763588426068,0.9961045006578795
mr,pnc,38.0,leak_covars,0.2485535853857554,0.033848706913109705,0.9843285982942278
mr,hbn,35.0,leak_covars,0.23600319803768202,0.011983693536672724,0.9419417626586387
age,hcpd,15.0,leak_covars,0.7983033243571116,0.6324710258245816,0.9955874618230466
age,abcd,99.0,leak_covars,0.2389776607197608,0.03055179507303374,0.9964546495219273
age,hbn,91.0,leak_covars,0.7421706322411279,0.5470262748005417,0.9973718364029265
attn,abcd,74.0,leak_covars,0.11517769015818899,-0.09102334136118584,0.9895628869104376
attn,abcd,72.0,leak_covars,0.1249686405194749,-0.08724730651459756,0.9881130480960671
age,pnc,9.0,leak_covars,0.6321259991547656,0.3966172513673478,0.9972156805076571
age,hbn,50.0,leak_covars,0.7490031809994049,0.5556733300932954,0.9970051512737974
age,hbn,6.0,leak_covars,0.7492582382549196,0.5559914089520435,0.9972122873410629
age,pnc,17.0,leak_covars,0.6295832230040759,0.39383348152800557,0.9972949013658822
attn,hcpd,5.0,leak_covars,-0.05982743043134102,-0.16476447494165702,0.9520895090297804
age,abcd,92.0,leak_covars,0.22975391209816995,0.015016955606003246,0.9955496768570072
age,pnc,71.0,leak_covars,0.626366030558522,0.38836796519577754,0.9974626108408475
mr,hcpd,43.0,leak_covars,0.25039997469637654,0.030879248001327353,0.9662959915109177
attn,hcpd,29.0,leak_covars,-0.05986715926740664,-0.14819930283430294,0.9358749505669698
age,hcpd,34.0,leak_covars,0.7928957482115779,0.6227485315619565,0.9952655311400826
